departure_city,destination_city,country,date_arrive,arrival_time_difference,arrival_status,airline,airline_type,cleaned_airline
Helsinki,Berlin,Finland,2024-07-14,-5,Early,Finnair (AY),premium,Finnair
Lisbon,Berlin,Portugal,2024-07-14,-28,Early,TAP Air Portugal (TP),premium,Tap Air Portugal
Budapest,Berlin,Hungary,2024-07-14,-3,Early,Wizz Air (W6),budget,Wizz Air
London STN,Berlin,United Kingdom,2024-07-14,85,Delayed,Amelia International (AEH),budget,Amelia International
Heraklion,Berlin,Greece,2024-07-14,139,Delayed,Eurowings (EW),budget,Eurowings
Valencia,Berlin,Spain,2024-07-14,-10,Early,Ryanair (FR),budget,Ryanair
London LHR,Berlin,United Kingdom,2024-07-14,2,Delayed,British Airways (BA),premium,British Airways
Ibiza,Berlin,Spain,2024-07-14,-6,Early,Eurowings (EW),budget,Eurowings
Munich,Berlin,Germany,2024-07-14,-2,Early,Lufthansa (LH),premium,Lufthansa
Nottingham EMA,Berlin,United Kingdom,2024-07-14,133,Delayed,Eastern Airways (T3),premium,Eastern Airways
London STN,Berlin,United Kingdom,2024-07-14,5,Delayed,Titan Airways (ZT),premium,Titan Airways
Vilnius,Berlin,Lithuania,2024-07-14,-7,Early,Air Baltic (BT),premium,Air Baltic
Porto,Berlin,Portugal,2024-07-14,-21,Early,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-14,5,Delayed,Lufthansa (LH),premium,Lufthansa
London STN,Berlin,United Kingdom,2024-07-14,21,Delayed,Zimex Aviation (XM),premium,Zimex Aviation
Monastir,Berlin,Tunisia,2024-07-14,-7,Early,SUNDAIR (SDR),budget,Sundair
Reykjavik,Berlin,Iceland,2024-07-14,-2,Early,Icelandair (FI),premium,Icelandair
Preveza,Berlin,Greece,2024-07-14,2,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Pristina,Berlin,Kosovo,2024-07-14,-24,Early,easyJet Europe (EJU),budget,Easyjet Europe
Dubrovnik,Berlin,Croatia,2024-07-14,23,Delayed,Ryanair (FR),budget,Ryanair
Brussels,Berlin,Belgium,2024-07-14,7,Delayed,Ryanair (FR),budget,Ryanair
Madrid,Berlin,Spain,2024-07-14,-11,Early,Air Europa (UX),premium,Air Europa
Malaga,Berlin,Spain,2024-07-14,12,Delayed,Eurowings (EW),budget,Eurowings
New York JFK,Berlin,United States,2024-07-14,-21,Early,(N0),budget,Norse Atlantic Airways
Izmir ADB,Berlin,Turkey,2024-07-14,1,Delayed,Sun Express (XQ),budget,Sun Express
Malaga,Berlin,Spain,2024-07-14,-9,Early,easyJet Europe (EJU),budget,Easyjet Europe
Amsterdam,Berlin,Netherlands,2024-07-14,11,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Madrid,Berlin,Spain,2024-07-14,-22,Early,Air Europa (UX),premium,Air Europa
Tirana,Berlin,Albania,2024-07-14,17,Delayed,Aero Services Executive (W4),premium,Aero Services Executive
Frankfurt,Berlin,Germany,2024-07-14,10,Delayed,Lufthansa (LH),premium,Lufthansa
Zurich,Berlin,Switzerland,2024-07-14,25,Delayed,Swiss (LX),premium,Swiss
Doha,Berlin,Qatar,2024-07-14,68,Delayed,Qatar Airways (QR),premium,Qatar Airways
Istanbul IST,Berlin,Turkey,2024-07-14,55,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Valencia,Berlin,Spain,2024-07-14,0,Cancelled,easyJet Europe (EJU),budget,Easyjet Europe
Castellón de la Plana,Berlin,Spain,2024-07-14,3,Delayed,Ryanair (FR),budget,Ryanair
Madrid,Berlin,Spain,2024-07-14,8,Delayed,Alba Star (LAV),budget,Alba Star
London STN,Berlin,United Kingdom,2024-07-14,-10,Early,Ryanair (FR),budget,Ryanair
Dublin,Berlin,Ireland,2024-07-14,16,Delayed,Ryanair (FR),budget,Ryanair
Vienna,Berlin,Austria,2024-07-14,4,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
Stockholm ARN,Berlin,Sweden,2024-07-14,5,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Rome FCO,Berlin,Italy,2024-07-14,3,Delayed,Ryanair (FR),budget,Ryanair
Paris CDG,Berlin,France,2024-07-14,6,Delayed,Air France (AF),premium,Air France
Cairo,Berlin,Egypt,2024-07-14,22,Delayed,Egypt Air (MS),premium,Egypt Air
Barcelona,Berlin,Spain,2024-07-14,-6,Early,easyJet Europe (EJU),budget,Easyjet Europe
Salerno,Berlin,Italy,2024-07-14,-4,Early,Pan Européenne Air Service (EUP),premium,Pan Européenne Air Service
Zurich,Berlin,Switzerland,2024-07-14,30,Delayed,Swiss (LX),premium,Swiss
London STN,Berlin,United Kingdom,2024-07-14,-12,Early,Ryanair (FR),budget,Ryanair
Munich,Berlin,Germany,2024-07-14,4,Delayed,Lufthansa (LH),premium,Lufthansa
Copenhagen,Berlin,Denmark,2024-07-14,108,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Budapest,Berlin,Hungary,2024-07-14,-6,Early,Ryanair (FR),budget,Ryanair
Tel Aviv,Berlin,Israel,2024-07-14,61,Delayed,Ryanair (FR),budget,Ryanair
Istanbul SAW,Berlin,Turkey,2024-07-14,66,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Paris Orly,Berlin,France,2024-07-14,30,Delayed,Transavia France (TO),budget,Transavia France
Milan BGY,Berlin,Italy,2024-07-14,35,Delayed,Ryanair (FR),budget,Ryanair
Madrid,Berlin,Spain,2024-07-14,11,Delayed,IBERIA (IB),premium,Iberia
London LHR,Berlin,United Kingdom,2024-07-14,14,Delayed,British Airways (BA),premium,British Airways
Dusseldorf,Berlin,Germany,2024-07-14,-1,Early,Eurowings (EW),budget,Eurowings
Manchester,Berlin,United Kingdom,2024-07-14,6,Delayed,Eurowings (EW),budget,Eurowings
Bergen BGO,Berlin,Norway,2024-07-14,18,Delayed,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Stuttgart,Berlin,Germany,2024-07-14,94,Delayed,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-14,-11,Early,Lufthansa (LH),premium,Lufthansa
London LCY,Berlin,United Kingdom,2024-07-14,56,Delayed,British Airways (BA),premium,British Airways
Stockholm ARN,Berlin,Sweden,2024-07-14,-13,Early,Norwegian Air (D8),budget,Norwegian Air
Lisbon,Berlin,Portugal,2024-07-14,-5,Early,Ryanair (FR),budget,Ryanair
Vienna,Berlin,Austria,2024-07-14,36,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
Cologne/Bonn,Berlin,Germany,2024-07-14,6,Delayed,Eurowings (EW),budget,Eurowings
Copenhagen,Berlin,Denmark,2024-07-14,27,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Thessaloniki,Berlin,Greece,2024-07-14,86,Delayed,Ryanair (FR),budget,Ryanair
Antalya,Berlin,Turkey,2024-07-14,36,Delayed,Sun Express (XQ),budget,Sun Express
London LHR,Berlin,United Kingdom,2024-07-14,-1,Early,British Airways (BA),premium,British Airways
Manchester,Berlin,United Kingdom,2024-07-14,41,Delayed,Eurowings (EW),budget,Eurowings
Amsterdam,Berlin,Netherlands,2024-07-14,-12,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Thessaloniki,Berlin,Greece,2024-07-14,27,Delayed,Aegean Airlines (A3),premium,Aegean Airlines
Milan MXP,Berlin,Italy,2024-07-14,-33,Early,Malta Air (MAY),budget,Malta Air
Bristol,Berlin,United Kingdom,2024-07-14,5,Delayed,easyJet UK (U2),budget,Easyjet Uk
Frankfurt,Berlin,Germany,2024-07-14,10,Delayed,Lufthansa (LH),premium,Lufthansa
Paris CDG,Berlin,France,2024-07-14,36,Delayed,Air France (AF),premium,Air France
Madrid,Berlin,Spain,2024-07-14,-8,Early,IBERIA Express (IBS),budget,Iberia Express
Munich,Berlin,Germany,2024-07-14,23,Delayed,Lufthansa (LH),premium,Lufthansa
Copenhagen,Berlin,Denmark,2024-07-14,9,Delayed,Norwegian Air (D8),budget,Norwegian Air
Stuttgart,Berlin,Germany,2024-07-14,3,Delayed,Eurowings (EW),budget,Eurowings
London LGW,Berlin,United Kingdom,2024-07-14,-5,Early,easyJet Europe (EJU),budget,Easyjet Europe
Gothenburg GOT,Berlin,Sweden,2024-07-14,0,Cancelled,Eurowings (EW),budget,Eurowings
Helsinki,Berlin,Finland,2024-07-14,-5,Early,Finnair (AY),premium,Finnair
Chania,Berlin,Greece,2024-07-14,37,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Barcelona,Berlin,Spain,2024-07-14,13,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Graz,Berlin,Austria,2024-07-14,-25,Early,Eurowings (EW),budget,Eurowings
Milan MXP,Berlin,Italy,2024-07-14,25,Delayed,Ryanair (FR),budget,Ryanair
Palma de Mallorca,Berlin,Spain,2024-07-14,0,On Time,Eurowings (EW),budget,Eurowings
Rhodos,Berlin,Greece,2024-07-14,102,Delayed,Ryanair (FR),budget,Ryanair
Tallinn,Berlin,Estonia,2024-07-14,13,Delayed,Ryanair (FR),budget,Ryanair
Vienna,Berlin,Austria,2024-07-14,-8,Early,Austrian Airlines (OS),premium,Austrian Airlines
Istanbul IST,Berlin,Turkey,2024-07-14,76,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Corfu,Berlin,Greece,2024-07-14,68,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Frankfurt,Berlin,Germany,2024-07-14,14,Delayed,Lufthansa (LH),premium,Lufthansa
Zurich,Berlin,Switzerland,2024-07-14,-12,Early,Swiss (LX),premium,Swiss
Brussels,Berlin,Belgium,2024-07-14,-2,Early,Brussels Airlines (SN),premium,Brussels Airlines
Amsterdam,Berlin,Netherlands,2024-07-14,35,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Antalya,Berlin,Turkey,2024-07-14,156,Delayed,Pegasus Airlines (PC),budget,Pegasus Airlines
Ankara ESB,Berlin,Turkey,2024-07-14,18,Delayed,(VF),budget,Valujet Airlines
Tel Aviv,Berlin,Israel,2024-07-14,19,Delayed,Israir (6H),premium,Israir
Paris CDG,Berlin,France,2024-07-14,16,Delayed,Air France (AF),premium,Air France
London LHR,Berlin,United Kingdom,2024-07-14,7,Delayed,British Airways (BA),premium,British Airways
Cologne/Bonn,Berlin,Germany,2024-07-14,0,On Time,Eurowings (EW),budget,Eurowings
Olbia,Berlin,Italy,2024-07-14,11,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Warsaw,Berlin,Poland,2024-07-14,50,Delayed,LOT Polish Airlines (LO),premium,Lot Polish Airlines
Palma de Mallorca,Berlin,Spain,2024-07-14,-3,Early,Ryanair (FR),budget,Ryanair
Milan LIN,Berlin,Italy,2024-07-14,-5,Early,easyJet Europe (EJU),budget,Easyjet Europe
Barcelona,Berlin,Spain,2024-07-14,-8,Early,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-14,14,Delayed,Lufthansa (LH),premium,Lufthansa
Zurich,Berlin,Switzerland,2024-07-14,-7,Early,Swiss (LX),premium,Swiss
Vienna,Berlin,Austria,2024-07-14,-5,Early,Austrian Airlines (OS),premium,Austrian Airlines
Helsinki,Berlin,Finland,2024-07-14,5,Delayed,Finnair (AY),premium,Finnair
Riga,Berlin,Latvia,2024-07-14,13,Delayed,Air Baltic (BT),premium,Air Baltic
Belgrade,Berlin,Serbia,2024-07-14,85,Delayed,Air Serbia (JU),premium,Air Serbia
Munich,Berlin,Germany,2024-07-14,11,Delayed,Lufthansa (LH),premium,Lufthansa
Saarbrücken,Berlin,Germany,2024-07-14,-7,Early,Danish Air Transport (DX),premium,Danish Air Transport
Split,Berlin,Croatia,2024-07-14,-16,Early,easyJet Europe (EJU),budget,Easyjet Europe
Palma de Mallorca,Berlin,Spain,2024-07-14,-29,Early,easyJet Europe (EJU),budget,Easyjet Europe
Kos,Berlin,Greece,2024-07-14,204,Delayed,Eurowings (EW),budget,Eurowings
Oslo,Berlin,Norway,2024-07-14,4,Delayed,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Amsterdam,Berlin,Netherlands,2024-07-14,-12,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Ibiza,Berlin,Spain,2024-07-14,65,Delayed,Ryanair (FR),budget,Ryanair
Corfu,Berlin,Greece,2024-07-14,40,Delayed,Ryanair (FR),budget,Ryanair
Zurich,Berlin,Switzerland,2024-07-14,5,Delayed,Swiss (LX),premium,Swiss
Dusseldorf,Berlin,Germany,2024-07-14,43,Delayed,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-14,1,Delayed,Lufthansa (LH),premium,Lufthansa
Vienna,Berlin,Austria,2024-07-14,13,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
London LHR,Berlin,United Kingdom,2024-07-14,5,Delayed,British Airways (BA),premium,British Airways
Bordeaux,Berlin,France,2024-07-14,-7,Early,easyJet Europe (EJU),budget,Easyjet Europe
Luxembourg,Berlin,Luxembourg,2024-07-14,10,Delayed,Luxair (LG),premium,Luxair
Antalya,Berlin,Turkey,2024-07-14,3,Delayed,Sun Express (XQ),budget,Sun Express
Copenhagen,Berlin,Denmark,2024-07-14,8,Delayed,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
Antalya,Berlin,Turkey,2024-07-14,64,Delayed,Sun Express (XQ),budget,Sun Express
Kaunas,Berlin,Lithuania,2024-07-14,24,Delayed,Ryanair (FR),budget,Ryanair
Nice,Berlin,France,2024-07-14,88,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Skopje,Berlin,North Macedonia,2024-07-14,16,Delayed,Wizz Air (W6),budget,Wizz Air
Stuttgart,Berlin,Germany,2024-07-14,30,Delayed,Eurowings (EW),budget,Eurowings
Salzburg,Berlin,Austria,2024-07-14,-10,Early,Eurowings (EW),budget,Eurowings
Paris CDG,Berlin,France,2024-07-14,51,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Stockholm ARN,Berlin,Sweden,2024-07-14,11,Delayed,Eurowings (EW),budget,Eurowings
Reggio Calabria,Berlin,Italy,2024-07-14,39,Delayed,Ryanair (FR),budget,Ryanair
Malta,Berlin,Malta,2024-07-14,8,Delayed,Air Malta (KM),premium,Air Malta
Frankfurt,Berlin,Germany,2024-07-14,54,Delayed,Lufthansa (LH),premium,Lufthansa
Dublin,Berlin,Ireland,2024-07-14,-10,Early,Aer Lingus (EI),premium,Aer Lingus
Edinburgh,Berlin,United Kingdom,2024-07-14,38,Delayed,easyJet UK (U2),budget,Easyjet Uk
Bologna,Berlin,Italy,2024-07-14,-9,Early,Ryanair (FR),budget,Ryanair
Palma de Mallorca,Berlin,Spain,2024-07-14,32,Delayed,Ryanair (FR),budget,Ryanair
Munich,Berlin,Germany,2024-07-14,8,Delayed,Lufthansa (LH),premium,Lufthansa
Istanbul IST,Berlin,Turkey,2024-07-14,-12,Early,Turkish Airlines (TK),premium,Turkish Airlines
Rome FCO,Berlin,Italy,2024-07-14,-12,Early,easyJet Europe (EJU),budget,Easyjet Europe
London LCY,Berlin,United Kingdom,2024-07-14,15,Delayed,British Airways (BA),premium,British Airways
Barcelona,Berlin,Spain,2024-07-14,-21,Early,Vueling Airlines (VY),budget,Vueling Airlines
Frankfurt,Berlin,Germany,2024-07-14,8,Delayed,Lufthansa (LH),premium,Lufthansa
Nice,Berlin,France,2024-07-14,-8,Early,Eurowings (EW),budget,Eurowings
Vienna,Berlin,Austria,2024-07-14,-22,Early,Eurowings (EW),budget,Eurowings
Manchester,Berlin,United Kingdom,2024-07-14,22,Delayed,easyJet UK (U2),budget,Easyjet Uk
Budapest,Berlin,Hungary,2024-07-14,-19,Early,Ryanair (FR),budget,Ryanair
Podgorica,Berlin,Montenegro,2024-07-14,91,Delayed,Ryanair (FR),budget,Ryanair
Warsaw,Berlin,Poland,2024-07-14,-8,Early,LOT Polish Airlines (LO),premium,Lot Polish Airlines
Zurich,Berlin,Switzerland,2024-07-14,0,Cancelled,Eurowings (EW),budget,Eurowings
Helsinki,Berlin,Finland,2024-07-14,-16,Early,Eurowings (EW),budget,Eurowings
Amsterdam,Berlin,Netherlands,2024-07-14,16,Delayed,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Zurich,Berlin,Switzerland,2024-07-14,66,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Vienna,Berlin,Austria,2024-07-14,9,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
London STN,Berlin,United Kingdom,2024-07-14,5,Delayed,Ryanair (FR),budget,Ryanair
Brussels,Berlin,Belgium,2024-07-14,-13,Early,Brussels Airlines (SN),premium,Brussels Airlines
Heraklion,Berlin,Greece,2024-07-14,9,Delayed,SUNDAIR (SDR),budget,Sundair
London LTN,Berlin,United Kingdom,2024-07-14,-8,Cancelled,easyJet UK (U2),budget,Easyjet Uk
Lisbon,Berlin,Portugal,2024-07-14,16,Delayed,TAP Air Portugal (TP),premium,Tap Air Portugal
Athens,Berlin,Greece,2024-07-14,2,Delayed,Ryanair (FR),budget,Ryanair
London LHR,Berlin,United Kingdom,2024-07-14,-5,Early,British Airways (BA),premium,British Airways
Paris Orly,Berlin,France,2024-07-14,0,On Time,easyJet Europe (EJU),budget,Easyjet Europe
Geneva,Berlin,Switzerland,2024-07-14,-12,Early,easyJet Europe (EJU),budget,Easyjet Europe
Copenhagen,Berlin,Denmark,2024-07-14,-27,Early,easyJet Europe (EJU),budget,Easyjet Europe
Munich,Berlin,Germany,2024-07-14,8,Delayed,Lufthansa (LH),premium,Lufthansa
London LGW,Berlin,United Kingdom,2024-07-14,71,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Paris CDG,Berlin,France,2024-07-14,38,Delayed,Air France (AF),premium,Air France
Amsterdam,Berlin,Netherlands,2024-07-14,-17,Early,easyJet Europe (EJU),budget,Easyjet Europe
Palma de Mallorca,Berlin,Spain,2024-07-14,16,Delayed,Eurowings (EW),budget,Eurowings
Venice,Berlin,Italy,2024-07-14,-5,Early,easyJet Europe (EJU),budget,Easyjet Europe
Funchal,Berlin,Portugal,2024-07-14,-40,Early,easyJet Europe (EJU),budget,Easyjet Europe
Rome FCO,Berlin,Italy,2024-07-14,18,Delayed,Ryanair (FR),budget,Ryanair
Krakow,Berlin,Poland,2024-07-14,53,Delayed,Ryanair (FR),budget,Ryanair
Zurich,Berlin,Switzerland,2024-07-14,-3,Early,Swiss (LX),premium,Swiss
Milan BGY,Berlin,Italy,2024-07-14,42,Delayed,Ryanair (FR),budget,Ryanair
Madrid,Berlin,Spain,2024-07-14,-22,Early,IBERIA Express (IBS),budget,Iberia Express
Paris Orly,Berlin,France,2024-07-14,2,Delayed,Transavia France (TO),budget,Transavia France
Hurghada,Berlin,Egypt,2024-07-14,11,Delayed,SUNDAIR (SDR),budget,Sundair
Tbilisi,Berlin,Georgia,2024-07-15,146,Delayed,Eurowings (EW),budget,Eurowings
Izmir ADB,Berlin,Turkey,2024-07-15,-12,Early,Sun Express (XQ),budget,Sun Express
Beijing,Berlin,China,2024-07-15,-20,Early,Hainan Airlines (HU),premium,Hainan Airlines
Gaziantep,Berlin,Turkey,2024-07-15,-17,Early,Sun Express (XQ),budget,Sun Express
New York EWR,Berlin,United States,2024-07-15,35,Delayed,United Airlines (UA),premium,United Airlines
Doha,Berlin,Qatar,2024-07-15,-19,Early,Qatar Airways (QR),premium,Qatar Airways
Stuttgart,Berlin,Germany,2024-07-15,-7,Early,Eurowings (EW),budget,Eurowings
Frankfurt,Berlin,Germany,2024-07-15,-16,Early,Lufthansa (LH),premium,Lufthansa
Dusseldorf,Berlin,Germany,2024-07-15,-16,Early,Eurowings (EW),budget,Eurowings
Riga,Berlin,Latvia,2024-07-15,-4,Early,Air Baltic (BT),premium,Air Baltic
Cologne/Bonn,Berlin,Germany,2024-07-15,38,Delayed,Eurowings (EW),budget,Eurowings
New York JFK,Berlin,United States,2024-07-15,22,Delayed,Delta Air Lines (DL),premium,Delta Air Lines
Vilnius,Berlin,Lithuania,2024-07-15,-17,Early,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-15,-10,Early,Lufthansa (LH),premium,Lufthansa
Strasbourg,Berlin,France,2024-07-15,-32,Early,Volotea Airlines (VOE),budget,Volotea Airlines
Helsinki,Berlin,Finland,2024-07-15,-9,Early,Finnair (AY),premium,Finnair
Saarbrücken,Berlin,Germany,2024-07-15,-17,Early,Danish Air Transport (DX),premium,Danish Air Transport
Stockholm ARN,Berlin,Sweden,2024-07-15,25,Delayed,Eurowings (EW),budget,Eurowings
Luxembourg,Berlin,Luxembourg,2024-07-15,-5,Early,Luxair (LG),premium,Luxair
Munich,Berlin,Germany,2024-07-15,-10,Early,Lufthansa (LH),premium,Lufthansa
Vienna,Berlin,Austria,2024-07-15,0,On Time,Austrian Airlines (OS),premium,Austrian Airlines
Marsa Alam,Berlin,Egypt,2024-07-15,-28,Early,Air Cairo (SM),budget,Air Cairo
Amsterdam,Berlin,Netherlands,2024-07-15,0,On Time,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Kutaisi,Berlin,Georgia,2024-07-15,11,Delayed,Wizz Air (W6),budget,Wizz Air
Oslo,Berlin,Norway,2024-07-15,1,Delayed,Norwegian Air Shuttle (DY),budget,Norwegian Air Shuttle
Milan LIN,Berlin,Italy,2024-07-15,12,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Munich,Berlin,Germany,2024-07-15,5,Delayed,Lufthansa (LH),premium,Lufthansa
Antalya,Berlin,Turkey,2024-07-15,-3,Early,Pegasus Airlines (PC),budget,Pegasus Airlines
Paris CDG,Berlin,France,2024-07-15,13,Delayed,Air France (AF),premium,Air France
Belgrade,Berlin,Serbia,2024-07-15,3,Delayed,Air Serbia (JU),premium,Air Serbia
Paphos,Berlin,Cyprus,2024-07-15,0,On Time,Ryanair (FR),budget,Ryanair
Zurich,Berlin,Switzerland,2024-07-15,10,Delayed,Swiss (LX),premium,Swiss
Copenhagen,Berlin,Denmark,2024-07-15,1,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Frankfurt,Berlin,Germany,2024-07-15,-6,Early,Lufthansa (LH),premium,Lufthansa
Edinburgh,Berlin,United Kingdom,2024-07-15,11,Delayed,Ryanair (FR),budget,Ryanair
London LTN,Berlin,United Kingdom,2024-07-15,-13,Early,easyJet UK (U2),budget,Easyjet Uk
Birmingham,Berlin,United Kingdom,2024-07-15,0,On Time,easyJet UK (U2),budget,Easyjet Uk
Munich,Berlin,Germany,2024-07-15,3,Delayed,Lufthansa (LH),premium,Lufthansa
London STN,Berlin,United Kingdom,2024-07-15,2,Delayed,Ryanair (FR),budget,Ryanair
Heraklion,Berlin,Greece,2024-07-15,-12,Early,Corendon Airlines Europe (CXI),budget,Corendon Airlines Europe
Istanbul IST,Berlin,Turkey,2024-07-15,1,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Dusseldorf,Berlin,Germany,2024-07-15,63,Delayed,Eurowings (EW),budget,Eurowings
Cologne/Bonn,Berlin,Germany,2024-07-15,-5,Early,Eurowings (EW),budget,Eurowings
Copenhagen,Berlin,Denmark,2024-07-15,-10,Early,SAS-Scandinavian Airlines System (SK),premium,Sas-Scandinavian Airlines System
London LGW,Berlin,United Kingdom,2024-07-15,-16,Early,easyJet UK (U2),budget,Easyjet Uk
Manchester,Berlin,United Kingdom,2024-07-15,15,Delayed,easyJet UK (U2),budget,Easyjet Uk
Zurich,Berlin,Switzerland,2024-07-15,-10,Early,easyJet Europe (EJU),budget,Easyjet Europe
Tel Aviv,Berlin,Israel,2024-07-15,-4,Early,EL AL- Israel Airlines (LY),premium,El Al- Israel Airlines
Tunis,Berlin,Tunisia,2024-07-15,-17,Early,Nouvelair Tunisie (BJ),budget,Nouvelair Tunisie
Stuttgart,Berlin,Germany,2024-07-15,-4,Early,Eurowings (EW),budget,Eurowings
London STN,Berlin,United Kingdom,2024-07-15,14,Delayed,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-15,-7,Early,Lufthansa (LH),premium,Lufthansa
Dublin,Berlin,Ireland,2024-07-15,8,Delayed,Aer Lingus (EI),premium,Aer Lingus
Barcelona,Berlin,Spain,2024-07-15,-8,Early,Vueling Airlines (VY),budget,Vueling Airlines
London LHR,Berlin,United Kingdom,2024-07-15,8,Delayed,British Airways (BA),premium,British Airways
Amsterdam,Berlin,Netherlands,2024-07-15,-4,Early,easyJet Europe (EJU),budget,Easyjet Europe
Zurich,Berlin,Switzerland,2024-07-15,12,Delayed,Swiss (LX),premium,Swiss
London LHR,Berlin,United Kingdom,2024-07-15,3,Delayed,British Airways (BA),premium,British Airways
Vienna,Berlin,Austria,2024-07-15,9,Delayed,Austrian Airlines (OS),premium,Austrian Airlines
Zadar,Berlin,Croatia,2024-07-15,15,Delayed,Ryanair (FR),budget,Ryanair
Erbil,Berlin,Iraq,2024-07-15,-6,Early,UR Airlines (UBD),budget,Ur Airlines
Madrid,Berlin,Spain,2024-07-15,-5,Early,IBERIA Express (IBS),budget,Iberia Express
Singapore,Berlin,Singapore,2024-07-15,-15,Early,Scoot (TR),budget,Scoot
Athens,Berlin,Greece,2024-07-15,12,Delayed,Aegean Airlines (A3),premium,Aegean Airlines
Antalya,Berlin,Turkey,2024-07-15,74,Delayed,Freebird Airlines (FHY),budget,Freebird Airlines
Marseille,Berlin,France,2024-07-15,24,Delayed,Ryanair (FR),budget,Ryanair
Brussels,Berlin,Belgium,2024-07-15,-9,Early,Brussels Airlines (SN),premium,Brussels Airlines
Marrakech,Berlin,Morocco,2024-07-15,1,Delayed,Ryanair (FR),budget,Ryanair
Frankfurt,Berlin,Germany,2024-07-15,49,Delayed,Lufthansa (LH),premium,Lufthansa
Rome FCO,Berlin,Italy,2024-07-15,46,Delayed,Ryanair (FR),budget,Ryanair
Dublin,Berlin,Ireland,2024-07-15,1,Delayed,Ryanair (FR),budget,Ryanair
London LCY,Berlin,United Kingdom,2024-07-15,9,Delayed,British Airways (BA),premium,British Airways
Geneva,Berlin,Switzerland,2024-07-15,-20,Early,easyJet Europe (EJU),budget,Easyjet Europe
Paris CDG,Berlin,France,2024-07-15,-7,Early,Air France (AF),premium,Air France
Vienna,Berlin,Austria,2024-07-15,21,Delayed,Eurowings (EW),budget,Eurowings
Istanbul SAW,Berlin,Turkey,2024-07-15,-4,Early,(VF),budget,Valujet Airlines
Istanbul IST,Berlin,Turkey,2024-07-15,2,Delayed,Turkish Airlines (TK),premium,Turkish Airlines
Zurich,Berlin,Switzerland,2024-07-15,110,Delayed,Eurowings (EW),budget,Eurowings
Amsterdam,Berlin,Netherlands,2024-07-15,-8,Early,KLM Royal Dutch Airlines (KL),premium,Klm Royal Dutch Airlines
Reykjavik,Berlin,Iceland,2024-07-15,-4,Early,(OG),budget,One-Two-Go Airlines
Antalya,Berlin,Turkey,2024-07-15,-4,Early,Sun Express (XQ),budget,Sun Express
Thessaloniki,Berlin,Greece,2024-07-15,11,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
London LHR,Berlin,United Kingdom,2024-07-15,-3,Early,British Airways (BA),premium,British Airways
Palma de Mallorca,Berlin,Spain,2024-07-15,4,Delayed,SUNDAIR (SDR),budget,Sundair
Munich,Berlin,Germany,2024-07-15,12,Delayed,Lufthansa (LH),premium,Lufthansa
Palma de Mallorca,Berlin,Spain,2024-07-15,2,Delayed,easyJet Europe (EJU),budget,Easyjet Europe
Bologna,Berlin,Italy,2024-07-15,1,Delayed,Ryanair (FR),budget,Ryanair
